Date,AAPL,GOOGL,AMZN,MSFT,JPM,V,JNJ,PG,XOM,T,BAC,WMT,INTC,PFE,VZ,KO,TSLA,MRK,DIS,UNH,HD,ADBE,CMCSA,PEP,CSCO,NVDA,NFLX,ABT,NKE,CVX,ACN,TMUS,BMY,LLY,TMO,IBM,MCD,ORCL,UPS,MDT,COST,PM,AVGO,SAP,HON,NEE,TXN,MO
2020-01-22,77.59270461891383,74.48650360107422,94.80449676513672,161.31295542399226,121.63953538073797,201.83962127237996,131.74246519175477,114.44182784263897,54.81872976366205,21.588190704133282,31.123769561189878,108.17775545842672,54.563996412489544,32.76966279582329,49.445124188260884,50.5277143282438,38.125999450683594,75.84173027331612,143.98074837805189,284.9858679394959,212.3285323528331,352.6000061035156,43.107587854434556,126.75531179358308,43.52356938526296,62.19695771664661,332.54998779296875,85.22093610514442,100.83185884517293,94.45692413780384,199.2169622780787,81.78298486167553,59.53188414514152,133.2523849134164,334.6567618505014,112.5083839600308,194.45985564292147,52.15344769917989,103.89039266271344,109.10310875789878,289.70618487903215,70.94173416518665,273.4347437279587,130.0721525018996,167.2129695779695,59.23355918121713,118.14595889277365,36.80819660666381
2020-01-23,77.43196955435553,74.37750244140625,94.25550079345703,160.14698792359425,120.28344919930456,202.21898948200996,132.94583498545757,113.27185767612715,54.129028985950306,21.744464169048683,30.870215420376994,109.10723522635331,56.19090084186823,32.664010415911896,49.387866495954626,50.642450074571705,37.616668701171875,75.41276613155232,143.13351351601685,283.1174066948384,210.82089815751888,351.0199890136719,42.236356955281536,127.89943093414014,43.27629089355469,62.6850464294497,326.0400085449219,86.18785487588097,99.90036660353717,93.87230536435375,198.45875669192586,81.94229611066372,58.84810841472229,133.25240476386267,336.38057285287823,113.1992051662416,192.06968962808463,51.21221855523795,103.2200800443017,108.34039305709986,288.43052829887046,70.93372016738994,277.2881892671312,128.27420334747316,165.60122552407543,59.32734193075572,117.60901348240539,36.649545145125344
2020-01-24,77.99945013998529,74.64099884033203,94.56849670410156,161.41900553501182,120.86843228230165,201.7520938119442,133.43079688936322,114.11021926894442,53.99108321038627,21.543542604899084,30.897385132666283,108.9101023600958,59.507289531647615,33.2735641172838,49.48601474872864,51.05726740744021,38.04199981689453,74.54645038179441,140.9406583163088,281.5413752119919,212.93701779393476,354.1000061035156,40.7480097389563,128.56090218655936,43.47057747303,64.12443272977414,348.4599914550781,85.28666036486196,99.47785348255017,94.19803437528678,199.97514347226436,81.93233889259604,58.19940899193986,133.8184570309741,334.00289128129464,112.56334171604584,195.39036509635287,51.82401782100654,103.22889411499736,108.47501520658744,290.27931477395396,69.54804588058425,290.7663730103293,129.4419322991688,165.70255152858698,58.79437448578689,120.6338003397942,36.41156396324444
2020-01-27,75.517591596215,71.5770034790039,91.0,155.290265211101,115.4618282978935,194.5348433600475,132.4788952168312,113.6819400841546,53.082313449886065,21.21983048725547,29.493771028181627,106.2718253348816,59.64137509294929,32.03007112698771,48.946165489357455,50.492404426311914,36.132667541503906,71.57737975298782,135.41866324225379,271.78359321095866,207.25168007103815,341.0400085449219,39.867713385885345,126.61229168031954,42.295944841262866,59.32817447351018,345.95001220703125,83.65320314239304,94.31141854519073,92.07670411467576,194.45923327790945,80.53842280989187,55.45555531780107,129.56377180647425,324.33306151345704,108.72462881829615,189.60653758477383,50.0544992952666,101.38551338857707,106.33043922288063,283.00431117248365,68.44269769035022,278.3702614080767,124.99344535257428,160.49903079001803,60.07305112552859,115.13009558344311,35.85626490060389
2020-01-28,76.13621412440465,72.08699798583984,92.0250015258789,157.82465327797104,117.73970686781172,196.85952441155848,133.32304804804687,114.75723937375005,52.830781772368226,21.387267014094913,29.90127410217301,108.89131051788613,59.44471618787331,31.95692358498602,49.06068687312703,50.70423636250236,37.89933395385742,72.70443241072122,136.05658125038045,267.923868420185,210.53937925243227,349.0,39.994765477769754,127.04136297298113,41.969163116980184,60.476185098333296,345.8800048828125,84.20706791543559,96.35682874296613,92.68637665997527,197.00869132070335,80.72759568818877,56.218226760992806,130.8373420538324,329.15805291559525,109.50964711175587,191.47669498810438,49.75330745039694,101.82652081151663,106.9675231666281,287.0347377095146,67.72182701297405,275.836536299277,122.76919607874653,160.36089367222883,61.01548095445476,113.78775112780515,35.83462406449191
2020-01-29,79.02239308339786,72.9229965209961,93.19999694824219,161.7369933643577,119.48575101476477,198.71731356769732,134.2121032298387,114.7390159931124,52.76586882890759,21.487730419779513,30.18199694653917,109.43584871282678,60.45482432834869,30.981631103035653,49.77229873693714,50.30707457408847,38.37933349609375,72.83900179895534,138.1497688917185,268.0088629348634,213.33662280694256,356.70001220703125,40.16719260838014,126.92512480867299,42.36660569345013,61.6067622103816,349.0,84.12257822564527,97.0578702025467,93.07890439486341,199.67185949902387,81.51416629931492,56.99841707667937,131.61090676171233,332.52663596553754,109.25057015594763,193.11884619821163,50.61924415048329,102.09993743896484,107.45207466416517,287.3582768436728,67.9781436254194,282.2501650166688,122.22242171921664,163.01331033382326,61.01777629339132,114.14571092448438,36.325017386637455
2020-01-30,78.07008910438653,71.90499877929688,92.9000015258789,167.72118451667154,117.60675650243267,198.42549792598172,134.73294202641065,113.71838044354165,51.751601217667364,20.35474223324143,29.611502738203658,108.54392084489363,58.67596817974002,30.46065311980948,48.0137071923437,51.12787335917428,42.16133117675781,73.1333999856505,134.65115468577403,265.9704366834064,210.70282997812353,349.69000244140625,38.905731211421184,127.2111904039928,41.10363338541919,60.167390376362285,341.1000061035156,82.88341523157874,95.08925986494333,91.70924272973913,196.6580369597069,79.24406501628268,55.92893401557047,130.35618516962228,319.0226625419371,107.35869833318867,195.22614390101566,49.71566511623309,99.0129615933159,105.3703208750018,285.4909282681803,66.64853754059422,276.53157789557184,120.82299122345279,160.0661671595911,60.816473448674266,111.06731020264027,35.387508877176515
2020-01-31,78.16506458059331,73.39299774169922,102.57350158691406,165.94808313890147,119.2021280474928,195.9841326763761,134.48148745575187,114.81191536626442,51.280989075174375,20.829141912434196,29.946547663339754,108.72231600920426,58.81898662581971,30.32928346734502,48.53719421595612,52.04575692107298,42.66666793823242,72.65396971861858,137.95040650267788,262.5070863211172,211.57467317432423,355.8399963378906,40.04014565847247,128.54302818235618,41.501073361688114,60.755091037734125,347.3900146484375,83.67197776431749,94.21537317785251,91.70923832854352,197.60579123113015,80.23971888047346,55.779907769254386,134.76180643273358,319.250518203057,112.17866503832369,196.61281552972474,50.205104967790106,95.11453194775406,105.66642948333404,285.2229211903096,67.43349799143186,276.3907720805899,122.42630064369732,163.85137615105336,61.637670951585385,111.19350879739451,34.796151477595295
2020-02-03,74.11468859181419,73.0824966430664,100.52999877929688,164.23281795045224,117.58014987642227,194.47645592083182,134.18515823862924,113.59990697180606,49.80423000982147,21.186342561996454,29.883158673350852,107.87731135089044,57.621149037508744,30.75623329778893,48.75804078112685,51.85158654739042,44.91266632080078,72.36799490979465,139.33588758609145,259.63830417998247,209.1588576638449,353.4100036621094,39.53192950244982,127.6134035834417,40.97998685293777,58.69563709810592,347.239990234375,82.40463226627593,95.07004410016143,89.32067366704207,194.6108670446097,80.01072909966625,55.31529904187182,132.57318132318528,313.8806326389961,113.2384563209018,196.12930762472496,49.6309525687502,91.86879274122997,104.04230338343052,283.79004805609094,66.19199010288955,268.8862988062524,122.16680627294988,160.67403969423933,61.46153998977103,109.12033448195967,34.26969443608516
2020-02-04,76.79627274854717,72.72450256347656,101.49400329589844,170.69884308329043,120.14161698534096,197.93918526191058,136.04408309491635,114.55675204848914,49.86102060623645,20.69519397800691,30.390274057987913,108.19652804473284,58.79216898157761,31.265269990426052,47.498398383163405,51.851586477092724,58.86399841308594,74.37820728732635,145.01738280115688,261.6672489505837,212.54647231898568,363.42999267578125,39.477477606313585,127.99777491409807,41.70420610663942,61.268083983269285,361.0,82.75198462096554,97.86452728123221,89.93034650514721,199.0274113991548,79.80164162842652,56.16563050324934,134.24295272069833,318.8641448020055,116.0095757984897,197.15105325757384,50.59100329359996,91.14554360125324,107.18286724230384,281.5438076143134,66.49635934386788,274.3057096016265,124.98418406667815,160.32402010629227,60.90796598852633,113.57311827775364,33.98123536053844
