Date,Open,High,Low,Close,Adj Close,Volume
2017-04-10,1215.000000,1224.000000,1204.050049,1210.574951,1065.860107,97532
2017-04-11,1210.000000,1221.000000,1205.000000,1210.400024,1065.706177,48530
2017-04-12,1209.574951,1213.500000,1190.300049,1197.099976,1053.995972,61524
2017-04-13,1200.000000,1204.000000,1160.675049,1163.925049,1024.786865,216988
2017-04-17,1166.250000,1166.525024,1150.000000,1160.425049,1021.705200,95602
2017-04-18,1162.500000,1169.474976,1151.250000,1154.324951,1016.334290,155452
2017-04-19,1142.500000,1174.224976,1127.500000,1150.875000,1013.296814,434290
2017-04-20,1159.449951,1167.000000,1146.000000,1164.175049,1025.006958,121062
2017-04-21,1165.000000,1167.724976,1150.949951,1155.599976,1017.457275,46658
2017-04-24,1150.000000,1168.525024,1141.949951,1164.550049,1025.337280,109302
2017-04-25,1165.500000,1171.650024,1151.500000,1155.650024,1017.501221,86084
2017-04-26,1165.125000,1170.500000,1152.000000,1155.224976,1017.127197,307916
2017-04-27,1160.000000,1164.824951,1142.525024,1150.699951,1013.142883,317610
2017-04-28,1150.699951,1151.000000,1132.650024,1136.050049,1000.244141,201386
2017-05-02,1148.500000,1150.750000,1140.050049,1145.974976,1008.982666,277740
2017-05-03,1149.500000,1171.750000,1135.724976,1168.699951,1028.990967,255224
2017-05-04,1172.500000,1174.000000,1155.500000,1163.550049,1024.456787,668816
2017-05-05,1151.000000,1165.900024,1151.000000,1159.974976,1021.309143,343074
2017-05-08,1162.500000,1173.449951,1159.000000,1170.949951,1030.971924,68278
2017-05-09,1171.224976,1181.000000,1166.800049,1176.375000,1035.748657,83428
2017-05-10,1176.375000,1178.000000,1158.000000,1166.250000,1026.833984,71886
2017-05-11,1170.000000,1179.824951,1161.800049,1175.625000,1035.088257,64362
2017-05-12,1174.500000,1184.500000,1161.349976,1179.750000,1038.720337,336766
2017-05-15,1182.250000,1187.500000,1170.375000,1182.199951,1040.877197,52680
2017-05-16,1189.349976,1217.400024,1187.750000,1213.625000,1068.545654,1178620
2017-05-17,1215.949951,1230.000000,1212.000000,1225.675049,1079.155029,249280
2017-05-18,1225.500000,1282.875000,1221.525024,1267.050049,1115.583984,576312
2017-05-19,1273.000000,1275.000000,1242.599976,1253.400024,1103.565918,106246
2017-05-22,1253.500000,1275.000000,1253.500000,1264.650024,1113.470825,96514
2017-05-23,1264.750000,1280.300049,1257.000000,1260.224976,1109.574829,99178
2017-05-24,1261.224976,1285.000000,1261.224976,1278.900024,1126.017822,274382
2017-05-25,1286.000000,1316.500000,1283.775024,1309.974976,1153.377563,790938
2017-05-26,1312.000000,1318.000000,1285.525024,1289.650024,1135.482544,693932
2017-05-29,1289.500000,1297.925049,1281.150024,1285.750000,1132.048706,100132
2017-05-30,1286.425049,1287.500000,1262.800049,1275.849976,1123.332031,97588
2017-05-31,1265.500000,1285.775024,1264.525024,1272.175049,1120.096680,100232
2017-06-01,1265.000000,1281.099976,1265.000000,1275.425049,1122.958008,94288
2017-06-02,1271.125000,1294.500000,1271.125000,1280.925049,1127.800537,83936
2017-06-05,1282.500000,1310.000000,1280.000000,1300.525024,1145.057495,144418
2017-06-06,1322.000000,1353.699951,1315.000000,1347.699951,1186.593018,307384
2017-06-07,1350.000000,1350.000000,1290.500000,1307.675049,1151.352783,390798
2017-06-08,1305.000000,1305.000000,1258.849976,1260.750000,1110.037354,362406
2017-06-09,1258.000000,1272.750000,1244.500000,1255.125000,1105.084595,205784
2017-06-12,1250.000000,1257.000000,1236.199951,1244.949951,1096.125977,1674392
2017-06-13,1233.125000,1241.224976,1225.000000,1226.699951,1092.119263,116034
2017-06-14,1225.025024,1238.500000,1225.025024,1235.400024,1099.865356,127556
2017-06-15,1232.525024,1234.974976,1203.025024,1205.550049,1073.289917,155360
2017-06-16,1205.550049,1217.449951,1194.750000,1198.724976,1067.213867,145620
2017-06-19,1204.250000,1221.425049,1203.275024,1215.949951,1082.548950,96256
2017-06-20,1214.974976,1222.500000,1191.550049,1220.750000,1086.822510,78890
2017-06-21,1220.500000,1220.500000,1199.000000,1203.025024,1071.042114,92260
2017-06-22,1205.000000,1215.050049,1194.449951,1197.875000,1066.457031,115518
2017-06-23,1201.500000,1206.500000,1176.500000,1180.324951,1050.832275,93466
2017-06-27,1179.375000,1193.175049,1167.500000,1172.949951,1044.266479,95596
2017-06-28,1172.500000,1179.150024,1167.574951,1175.599976,1046.625977,82848
2017-06-29,1176.500000,1185.400024,1162.500000,1167.324951,1039.258911,80968
2017-06-30,1165.000000,1188.925049,1163.000000,1182.175049,1052.479370,109472
2017-07-03,1182.000000,1191.474976,1172.750000,1186.699951,1056.507935,72366
2017-07-04,1186.699951,1190.699951,1175.550049,1182.000000,1052.323486,56178
2017-07-05,1182.000000,1182.000000,1173.150024,1178.875000,1049.541504,41572
2017-07-06,1175.025024,1180.650024,1170.000000,1172.400024,1043.776855,62268
2017-07-07,1177.300049,1178.000000,1162.500000,1166.099976,1038.168213,109818
2017-07-10,1166.500000,1226.000000,1166.500000,1220.425049,1086.532959,1350732
2017-07-11,1219.400024,1256.699951,1213.425049,1235.949951,1100.355103,289626
2017-07-12,1243.974976,1244.000000,1215.650024,1219.550049,1085.754028,91514
2017-07-13,1224.949951,1235.500000,1213.550049,1222.025024,1087.957886,136914
2017-07-14,1194.500000,1211.324951,1188.050049,1199.400024,1067.814575,420104
2017-07-17,1200.000000,1210.324951,1192.000000,1197.849976,1066.434937,69136
2017-07-18,1198.500000,1220.000000,1198.500000,1202.625000,1070.685913,177068
2017-07-19,1209.000000,1228.949951,1208.650024,1225.224976,1090.806885,83796
2017-07-20,1225.000000,1228.699951,1215.500000,1222.599976,1088.469604,46184
2017-07-21,1222.599976,1249.500000,1219.900024,1245.449951,1108.812622,87094
2017-07-24,1240.000000,1269.599976,1239.949951,1266.324951,1130.574707,115188
2017-07-25,1265.000000,1290.000000,1258.849976,1285.324951,1147.537842,103052
2017-07-26,1277.500000,1286.500000,1273.500000,1277.400024,1140.462280,75250
2017-07-27,1275.000000,1291.849976,1234.525024,1242.175049,1109.013672,119976
2017-07-28,1239.699951,1244.275024,1221.925049,1241.375000,1108.299194,85060
2017-07-31,1235.000000,1258.000000,1232.449951,1247.025024,1113.343628,84854
2017-08-01,1247.025024,1259.449951,1244.150024,1249.974976,1115.977661,52056
2017-08-02,1249.500000,1250.925049,1229.000000,1233.675049,1101.424438,42532
2017-08-03,1239.500000,1250.724976,1236.000000,1244.775024,1111.334961,907188
2017-08-04,1245.000000,1264.000000,1243.724976,1261.375000,1126.155640,58680
2017-08-07,1261.000000,1261.375000,1242.000000,1252.300049,1118.053101,62024
2017-08-08,1262.500000,1263.000000,1243.000000,1248.900024,1115.017822,41584
