Date,Open,High,Low,Close,Adj Close,Volume
2017-01-30,507.662872,518.311951,507.588562,517.494690,502.731873,7235452
2017-01-31,518.510071,521.952393,515.265808,517.692810,502.924377,6980274
2017-02-01,518.138550,520.516052,512.739746,519.896912,505.065613,5220617
2017-02-02,520.070251,520.466492,514.250427,516.850769,502.106384,4199246
2017-02-03,518.089050,520.293152,510.213684,511.972015,497.366791,6100788
2017-02-06,513.631287,517.544189,511.179535,515.934448,501.216187,4611263
2017-02-07,516.107788,516.281189,508.777313,510.609924,496.043549,4571415
2017-02-08,510.609924,514.250427,506.201721,507.761932,493.276764,7490523
2017-02-09,509.173553,512.145386,508.579163,511.526245,496.933685,4551167
2017-02-10,512.640686,512.913086,507.960052,510.238434,495.682678,5777310
2017-02-13,511.650055,512.145386,506.201721,510.089844,495.538300,3953095
2017-02-14,512.640686,521.506653,510.114624,519.971191,505.137756,8419890
2017-02-15,521.506653,523.785034,517.717529,520.714172,505.859558,7031717
2017-02-16,521.333252,529.703918,521.333252,528.738098,513.654602,9070869
2017-02-17,528.242798,534.037842,524.255554,532.700500,517.503906,6852052
2017-02-20,530.248779,534.359802,528.242798,532.651001,517.455872,5376741
2017-02-21,532.551941,540.352966,531.487061,538.990906,523.614929,6547056
2017-02-22,541.368347,600.136292,540.873047,598.080811,581.019104,58759604
2017-02-23,601.102173,605.262695,584.137939,585.822021,569.109985,28728225
2017-02-27,589.660583,622.499329,589.586304,613.633362,596.127991,38499330
2017-02-28,610.215759,618.140625,608.482178,613.212341,595.718933,16665551
2017-03-01,614.227722,616.357544,609.225159,611.454041,594.010864,11253980
2017-03-02,613.138062,621.459167,607.763977,612.568481,595.093506,8336344
2017-03-03,614.945923,637.853760,614.945923,623.366089,605.583130,38907038
2017-03-06,628.542053,649.840149,626.684631,646.546387,628.102112,30793458
2017-03-07,653.233032,657.269714,641.989563,646.348267,627.909607,19416016
2017-03-08,647.710327,647.710327,637.011780,639.537842,621.293396,20000005
2017-03-09,638.943481,642.905884,634.733337,637.333740,619.152222,14350087
2017-03-10,639.067261,641.915283,624.678650,634.807678,616.698242,11438543
2017-03-14,653.183472,653.307312,636.590759,638.695801,620.475342,12813559
2017-03-15,639.463501,651.969971,639.141602,646.348267,627.909607,11125787
2017-03-16,648.849548,649.047668,640.726563,642.732544,624.397034,7348934
2017-03-17,647.858948,653.777832,642.930664,644.243225,625.864624,10488640
2017-03-20,646.868347,646.992188,633.173157,634.386658,616.289185,5939197
2017-03-21,635.080078,635.922119,623.737610,625.966492,608.109253,10428134
2017-03-22,620.121887,627.006592,617.422424,623.935730,606.136414,9364609
2017-03-23,625.644531,632.776917,623.093689,630.671875,612.680420,5449349
2017-03-24,631.068115,639.934082,628.269653,637.333740,619.152222,7514381
2017-03-27,629.582214,633.371277,617.744385,619.676086,601.998352,14976876
2017-03-28,623.093689,626.065552,615.218323,617.026184,599.424011,10017936
2017-03-29,619.973267,624.084290,610.884399,622.425049,604.668823,8733582
2017-03-30,621.607788,631.390076,620.617188,629.359314,611.405334,12858458
2017-03-31,627.056152,662.544739,627.056152,654.248352,635.584290,20947737
2017-04-03,664.699341,683.768555,662.247559,680.871033,661.447449,20715169
2017-04-05,691.049561,702.342468,683.570435,700.856567,680.862915,18609462
2017-04-06,697.884766,717.647400,694.516663,712.496277,692.170593,23361514
2017-04-07,703.976990,710.267395,694.690063,696.696045,676.821106,14710432
2017-04-10,698.380066,705.760071,682.183594,684.189575,664.671448,14199616
2017-04-11,687.409058,693.649902,678.617371,679.731812,660.340820,14883207
2017-04-12,684.907776,686.715637,669.231384,670.643005,651.511292,12667376
2017-04-13,670.643005,680.251892,667.349182,675.992249,656.707886,5867471
2017-04-17,676.091309,691.222900,676.091309,689.390259,669.723755,5463005
2017-04-18,693.402222,698.380066,677.081970,678.666931,659.306274,7391572
2017-04-19,678.072571,684.783936,672.401306,677.973511,658.632629,5340733
2017-04-20,683.025574,686.888977,675.645569,678.344971,658.993530,3873597
2017-04-21,683.768555,703.828430,682.802734,694.665283,674.848267,13951559
2017-04-24,697.909485,710.762695,693.526062,702.045288,682.017822,11774019
2017-04-25,723.145325,726.983948,706.354492,709.673035,689.427856,16966725
2017-04-26,710.762695,713.263977,694.714783,701.574768,681.560669,7736192
2017-04-27,701.847168,705.388611,694.516663,698.132385,678.216431,5801788
2017-04-28,698.256226,703.481689,688.969238,691.049561,671.335693,5468153
2017-05-02,694.417603,694.417603,676.735229,678.840271,659.474670,8579933
