Date,AAPL,GOOGL,AMZN,MSFT,JPM,V,JNJ,PG,XOM,T,BAC,WMT,INTC,PFE,VZ,KO,TSLA,MRK,DIS,UNH,HD,ADBE,CMCSA,PEP,CSCO,NVDA,NFLX,ABT,NKE,CVX,ACN,TMUS,BMY,LLY,TMO,IBM,MCD,ORCL,UPS,MDT,COST,PM,AVGO,SAP,HON,NEE,TXN,MO
2020-07-02,89.81198219118654,72.50878831687898,145.60049438476562,198.569869947981,85.17313282680752,190.53136567450096,126.55040517458795,109.59569957882434,36.7932959573691,16.649947629006277,21.593221606516902,37.656673422930105,53.099230032024856,27.861957528502245,44.04444160413035,40.05525695412878,81.43199920654297,66.3403824795647,114.62642116855692,283.7080814587864,228.75080198969624,445.0,36.522012087326665,119.24458039463113,41.06240367524977,9.61036938337148,485.6400146484375,86.3537869151463,94.64987108700377,75.03471355792131,204.63776851037846,105.65871764338804,52.20697819899695,155.7759913400362,358.7344153705272,94.40645769983765,170.72085529368636,52.38785493899923,101.77118630037113,84.10821705566273,283.2379832166291,57.26056927238032,286.0118581013398,132.44087356265263,134.34210175861588,56.48984996110436,113.10083568302365,28.72435828430632
2020-07-06,90.33689250653677,74.32220001248929,146.74850463867188,201.61098456124537,84.89442704743031,193.1852008678256,127.37463913069071,110.29313282948773,36.834530121950884,16.887726796483243,21.575104209369375,37.56574459780506,52.677599314573754,28.127541251800345,44.28446321786121,39.92259576021646,85.11266326904297,66.9060777323241,113.46022394229647,286.0683621571144,227.23451048898005,448.0,36.30309400430391,118.83382328853257,41.06238872786107,9.712814016138097,480.7699890136719,86.59649596216632,95.4547536264656,75.14386956138604,205.76215760025192,105.31294901479814,52.47109173696193,156.1462626663541,366.8692617133003,95.63693797973266,169.80793677211125,52.77285503339155,101.82399171082,84.83833748169954,284.65427599468086,57.405729201823604,288.0371920229452,136.68411337851217,135.88318232086576,56.496679886584154,114.10306926869423,28.811327389951277
2020-07-07,91.65777382885273,74.7207438899484,152.92750549316406,203.17497085185113,84.34601934108545,191.31874871366512,126.6758351370048,109.86743373315277,36.199591795837875,16.755009662556827,21.176572739882214,37.142425564919414,52.99158075236459,27.40323337294186,43.940422310164514,39.79878167628989,93.6673355102539,66.70344143153206,113.26087188720703,283.8591423525237,224.60140112467542,452.5899963378906,36.522006785139226,118.11051678832031,41.10696822635102,9.916703163164655,497.30999755859375,86.3164291381836,95.0714825635536,73.73333770430604,204.40153637991884,105.15488580262284,52.611952245826814,157.72235377344012,377.6396154739271,93.86223099648036,171.05867073912933,52.91370243489202,100.4947501924857,82.99048382153882,286.9590655660753,56.45408368192434,285.64282061865157,134.66926189932326,134.72969450635182,55.64532402059372,115.19479029880752,28.40543515041586
2020-07-08,91.97760158451959,74.95397976142851,151.1304931640625,202.8081476252456,82.9705206824803,189.6370502435743,128.0017874908549,110.63731862022466,35.5811465463778,16.84348487854004,20.859563353596734,40.13702252393328,52.435382902644434,27.37103752388187,44.09244572025174,39.92260383791293,93.66666412353516,66.39104554991847,113.11135880674158,280.73408048735706,225.05535533863647,453.760009765625,36.60409673698852,119.79820891744771,40.634573688917605,9.964063879914189,498.5799865722656,86.6711705075157,93.42340512920106,72.53273013139685,205.4881643037742,104.96717610640533,53.1049640242628,158.40594036114743,381.0184380273663,93.12077823342587,169.351468604006,53.176630237228515,100.81165763088975,82.58486721283391,293.54935480092905,58.87352100025052,284.56272425812267,134.81781756338705,133.28087518745807,56.18709982962525,116.03595392104182,28.86206959034965
2020-07-09,94.01141983900362,75.40994713089678,155.79949951171875,208.85175119939748,84.0763330538747,189.55924043447973,127.90321528362442,111.24416982046016,35.37500576835097,16.8992056202761,20.77804207313947,39.38758743878388,52.21110329522026,27.145697451568115,44.21542618680086,39.84300555863735,93.1326675415039,65.80844109481112,116.13152110056039,278.6097573946886,226.68060950927884,460.44000244140625,36.2118862107175,118.67309760975016,41.53478795147344,10.349413918711559,508.3999938964844,86.57782387827957,94.4294945385511,72.18009973122955,206.43306067462217,105.37222715132518,52.52391693935815,161.29227485139856,382.0390069754038,93.07347629696375,170.0087770330819,53.51468774381919,100.79404807218627,82.42264022408419,296.19664216654735,57.81703144176761,288.0461648890798,144.3163558177565,133.56697400237272,57.188685862251546,115.24849358903106,28.796838446246483
2020-07-10,93.10560667676778,75.57576389646678,159.58799743652344,206.23541689795883,82.70982567304425,186.30271455310887,127.8942762390733,111.01772867039324,33.90722572799188,16.68987364561861,20.569714686774535,40.36905905421637,51.986834105640234,27.0893558865939,43.56007812557437,38.808235597452956,93.06666564941406,64.8036809971429,116.4504755802186,277.79786688749664,225.43672907780896,460.8299865722656,35.783178418503695,118.199809605462,41.650666964534096,10.557295729815602,519.72998046875,87.25932354046734,92.94429389558886,69.26669150419553,206.93387740138368,104.54236981243587,51.062474285831954,157.7413481868582,385.20973215144494,91.10156065409154,167.78115457869038,53.9654010713117,100.97011729069757,80.83618170294457,301.75026382367287,57.01861612689314,289.7563688576228,141.79086400259428,130.69701127663478,57.40494461164802,116.52813123078246,28.231484605195664
2020-07-13,94.99047972715151,77.40816264841001,162.55299377441406,207.06568412640044,88.76021905677258,188.2080386902438,128.66478530082293,112.31294035074426,35.44097421598603,17.063270564008313,22.073274623464616,41.18120898392427,53.68235170948186,27.95049054987236,44.29633075869879,40.2675218009853,110.5999984741211,65.01475092853394,119.55037743180137,275.7680288862141,228.73260698040306,469.7699890136719,36.9142237423387,122.1288063632482,41.775439415869435,10.563526509842635,567.97998046875,86.9512520999591,94.14205405195914,72.23885624158896,209.13549218168626,105.5994525573002,50.68390669472499,156.28869994567575,381.1373447503996,94.47744869278425,169.44274029839232,53.89967904038136,101.78000069824469,82.30543154611534,302.0280595132628,58.679980671940825,289.5494118235348,144.4927781527655,132.4964860495298,58.95513156221167,118.12098008753016,29.08675933780497
2020-07-14,92.6221687533941,74.55393894345848,154.4499969482422,199.00435490054554,88.43660162211386,184.21274199245073,130.19686035893147,112.30390103694491,35.06990244444209,16.81434095094885,21.638505508019854,40.5383924311801,51.915070992303264,28.465557698159184,44.03743280627117,39.71918595233923,103.73332977294922,65.47070978626478,114.85567819829505,281.16838956637554,226.08136457927262,435.739990234375,36.43991452710156,120.18216821924594,40.54544141614884,10.045070380996924,517.0800170898438,86.8202314623243,92.30231118305049,71.69311789359747,202.96527269389827,102.31953561718302,50.91280847936256,154.6461934844382,375.45982983934823,93.56251410457804,168.97713047255965,53.43915561339083,99.97536359981808,83.59442980626643,297.4184642870252,58.97030822865888,278.12687754208673,140.47236940433822,132.41342108324832,58.32913933161391,114.35363701277969,29.144748275735346
2020-07-15,96.67513780157408,76.07419047699777,154.01150512695312,202.31578738473246,90.70211547942817,189.78286238276593,134.14787728760763,114.10635123115564,37.13137142538885,17.012353924119356,22.426516034233916,41.47596436809644,52.955692291259766,28.964529847593337,44.992127381478014,40.94852066148551,102.86666870117188,66.90610279100001,121.23487987662897,284.2933567234956,236.19602507866298,434.9100036621094,37.49798819205061,120.86081778689316,41.445662146743835,10.383315607908296,516.2999877929688,89.87542983514008,94.2953523478396,75.71479385230514,208.64039367343483,104.23611688628975,51.63471804883565,156.83931512095637,389.103759765625,96.54398571749438,177.02021852521653,54.14640371071506,102.7483155249342,86.18138050388885,303.6941702815093,60.3090831463784,284.39171018798476,144.39991332424736,139.52827506673935,60.227607939877316,117.61089831058769,29.963786677727487
2020-07-16,94.30439295063621,74.98893600451756,148.55299377441406,198.29956158305814,88.80517521740222,189.88004719674615,133.20713153326108,113.29115947533766,36.537683173933274,16.955778894524837,21.511701599654145,41.40697516283443,52.51612482052421,28.65066146850586,44.393423516049324,40.91314381970471,98.47733306884766,67.36204242644347,117.33758620514536,287.96610900182463,233.12713990564941,428.42999267578125,38.04527655242981,119.70892704460559,40.73260672659818,9.985252358477533,526.47998046875,91.7029308612403,93.4233989116621,74.25389103606166,208.43166748920382,103.23830544638311,52.145343859273076,156.6114602446782,389.3315723280417,96.76486562925703,174.48220796758804,53.20341454865824,104.57932440179243,87.07375460699768,302.3242454276671,60.301019714592314,279.585062308317,144.42777994406654,139.3529377769022,59.15090392103064,117.09189715460364,29.673860028244803
